date,result,fighter,opponent,division,stance,dob,method,total_comp_time,round,time,reach,height,total_strikes_accuracy
2002-11-22,1,Vladimir Matyushenko,Travis Wiuff,Heavyweight,Orthodox,1971-01-04,KO/TKO,250,1,4:10,74.0,72.0,84.84848484848484
2002-11-22,1,Andrei Arlovski,Ian Freeman,Heavyweight,Orthodox,1979-02-04,KO/TKO,78,1,1:18,77.0,75.0,53.84615384615385
2003-02-28,1,Vladimir Matyushenko,Pedro Rizzo,Heavyweight,Orthodox,1971-01-04,U-DEC,900,3,5:00,74.0,72.0,83.1858407079646
2003-02-28,1,Frank Mir,David Abbott,Heavyweight,Southpaw,1979-05-24,SUB,46,1,0:46,79.0,75.0,0.0
2003-02-28,1,Tim Sylvia,Ricco Rodriguez,Heavyweight,Orthodox,1976-03-05,KO/TKO,189,1,3:09,80.0,80.0,53.57142857142857
2003-06-06,1,Frank Mir,Wes Sims,Heavyweight,Southpaw,1979-05-24,DQ,175,1,2:55,79.0,75.0,85.71428571428571
2003-09-26,1,Tim Sylvia,Gan McGee,Heavyweight,Orthodox,1976-03-05,KO/TKO,114,1,1:54,80.0,80.0,29.411764705882355
2003-09-26,0,Vladimir Matyushenko,Andrei Arlovski,Heavyweight,Orthodox,1971-01-04,KO/TKO,119,1,1:59,74.0,72.0,29.411764705882355
2003-09-26,1,Andrei Arlovski,Vladimir Matyushenko,Heavyweight,Orthodox,1979-02-04,KO/TKO,119,1,1:59,77.0,75.0,66.66666666666666
2004-01-31,1,Frank Mir,Wes Sims,Heavyweight,Southpaw,1979-05-24,KO/TKO,561,2,4:21,79.0,75.0,75.55555555555556
2004-04-02,1,Mike Kyle,Wes Sims,Heavyweight,Orthodox,1980-03-31,KO/TKO,299,1,4:59,77.0,76.0,87.27272727272727
2004-04-02,1,Andrei Arlovski,Wesley Correira,Heavyweight,Orthodox,1979-02-04,KO/TKO,375,2,1:15,77.0,75.0,61.44578313253012
2004-06-19,0,Tim Sylvia,Frank Mir,Heavyweight,Orthodox,1976-03-05,SUB,50,1,0:50,80.0,80.0,40.0
2004-06-19,1,Frank Mir,Tim Sylvia,Heavyweight,Southpaw,1979-05-24,SUB,50,1,0:50,79.0,75.0,100.0
2004-06-19,1,Ken Shamrock,Kimo Leopoldo,Heavyweight,Orthodox,1964-02-11,KO/TKO,86,1,1:26,72.0,73.0,82.35294117647058
2004-08-21,0,Mike Kyle,Justin Eilers,Heavyweight,Orthodox,1980-03-31,KO/TKO,74,1,1:14,77.0,76.0,43.75
2005-02-05,0,James Irvin,Mike Kyle,Heavyweight,Orthodox,1978-09-12,KO/TKO,115,1,1:55,75.0,74.0,50.0
2005-02-05,1,Mike Kyle,James Irvin,Heavyweight,Orthodox,1980-03-31,KO/TKO,115,1,1:55,77.0,76.0,76.92307692307693
2005-02-05,1,Paul Buentello,Justin Eilers,Heavyweight,Orthodox,1974-01-16,KO/TKO,214,1,3:34,77.0,74.0,46.15384615384615
2005-02-05,0,Tim Sylvia,Andrei Arlovski,Heavyweight,Orthodox,1976-03-05,SUB,47,1,0:47,80.0,80.0,50.0
2005-02-05,1,Andrei Arlovski,Tim Sylvia,Heavyweight,Orthodox,1979-02-04,SUB,47,1,0:47,77.0,75.0,50.0
2005-06-04,1,Paul Buentello,Kevin Jordan,Heavyweight,Orthodox,1974-01-16,SUB,240,1,4:00,77.0,74.0,48.93617021276596
2005-06-04,1,Andrei Arlovski,Justin Eilers,Heavyweight,Orthodox,1979-02-04,KO/TKO,250,1,4:10,77.0,75.0,58.92857142857143
2005-08-20,1,Tim Sylvia,Tra Telligman,Heavyweight,Orthodox,1976-03-05,KO/TKO,299,1,4:59,80.0,80.0,45.71428571428572
2005-10-03,1,Brandon Vera,Fabiano Scherner,Heavyweight,Orthodox,1977-10-10,KO/TKO,502,2,3:22,78.0,75.0,75.0
2005-10-07,0,Paul Buentello,Andrei Arlovski,Heavyweight,Orthodox,1974-01-16,KO/TKO,15,1,0:15,77.0,74.0,33.33333333333333
2005-10-07,1,Andrei Arlovski,Paul Buentello,Heavyweight,Orthodox,1979-02-04,KO/TKO,15,1,0:15,77.0,75.0,33.33333333333333
2005-11-05,1,Keith Jardine,Kerry Schall,Heavyweight,Orthodox,1975-10-31,KO/TKO,508,2,3:28,76.0,74.0,36.93693693693694
2005-11-05,1,Rashad Evans,Brad Imes,Heavyweight,Orthodox,1979-09-25,S-DEC,900,3,5:00,75.0,72.0,51.45631067961165
2005-11-19,1,Gabriel Gonzaga,Kevin Jordan,Heavyweight,Orthodox,1979-05-18,KO/TKO,879,3,4:39,76.0,74.0,64.28571428571429
2006-01-16,1,Tim Sylvia,Assuerio Silva,Heavyweight,Orthodox,1976-03-05,U-DEC,900,3,5:00,80.0,80.0,49.63768115942029
2006-02-04,1,Jeff Monson,Branden Lee Hinkle,Heavyweight,Orthodox,1971-01-18,SUB,275,1,4:35,74.0,69.0,90.32258064516128
2006-02-04,1,Paul Buentello,Gilbert Aldana,Heavyweight,Orthodox,1974-01-16,KO/TKO,447,2,2:27,77.0,74.0,75.28089887640449
2006-02-04,0,Frank Mir,Marcio Cruz,Heavyweight,Southpaw,1979-05-24,KO/TKO,250,1,4:10,79.0,75.0,66.66666666666666
2006-02-04,1,Brandon Vera,Justin Eilers,Heavyweight,Orthodox,1977-10-10,KO/TKO,85,1,1:25,78.0,75.0,70.0
2006-04-15,1,Jeff Monson,Marcio Cruz,Heavyweight,Orthodox,1971-01-18,S-DEC,900,3,5:00,74.0,69.0,64.16666666666667
2006-04-15,0,Andrei Arlovski,Tim Sylvia,Heavyweight,Orthodox,1979-02-04,KO/TKO,163,1,2:43,77.0,75.0,46.15384615384615
2006-04-15,1,Tim Sylvia,Andrei Arlovski,Heavyweight,Orthodox,1976-03-05,KO/TKO,163,1,2:43,80.0,80.0,43.333333333333336
2006-05-27,1,Gabriel Gonzaga,Fabiano Scherner,Heavyweight,Orthodox,1979-05-18,KO/TKO,324,2,0:24,76.0,74.0,68.0
2006-05-27,1,Brandon Vera,Assuerio Silva,Heavyweight,Orthodox,1977-10-10,SUB,159,1,2:39,78.0,75.0,27.58620689655172
2006-07-08,1,Cheick Kongo,Gilbert Aldana,Heavyweight,Orthodox,1975-05-17,KO/TKO,253,1,4:13,82.0,76.0,89.1891891891892
2006-07-08,0,Anthony Perosh,Jeff Monson,Heavyweight,Orthodox,1972-10-05,KO/TKO,162,1,2:42,75.0,75.0,52.63157894736842
2006-07-08,1,Jeff Monson,Anthony Perosh,Heavyweight,Orthodox,1971-01-18,KO/TKO,162,1,2:42,74.0,69.0,75.75757575757575
2006-07-08,1,Frank Mir,Dan Christison,Heavyweight,Southpaw,1979-05-24,U-DEC,900,3,5:00,79.0,75.0,73.02631578947368
2006-07-08,0,Andrei Arlovski,Tim Sylvia,Heavyweight,Orthodox,1979-02-04,U-DEC,1500,5,5:00,77.0,75.0,20.60606060606061
2006-07-08,1,Tim Sylvia,Andrei Arlovski,Heavyweight,Orthodox,1976-03-05,U-DEC,1500,5,5:00,80.0,80.0,37.35849056603773
2006-08-17,1,Jake O'Brien,Kristof Midoux,Heavyweight,Orthodox,1984-09-25,KO/TKO,352,2,0:52,76.0,75.0,73.27586206896551
2006-08-26,0,Christian Wellisch,Cheick Kongo,Heavyweight,Orthodox,1975-09-13,KO/TKO,171,1,2:51,77.0,74.0,58.333333333333336
2006-08-26,1,Cheick Kongo,Christian Wellisch,Heavyweight,Orthodox,1975-05-17,KO/TKO,171,1,2:51,82.0,76.0,84.375
2006-09-23,1,Eddie Sanchez,Mario Neto,Heavyweight,Orthodox,1982-11-04,KO/TKO,317,2,0:17,74.0,74.0,48.93617021276596
2006-10-14,0,Cheick Kongo,Carmelo Marrero,Heavyweight,Orthodox,1975-05-17,S-DEC,900,3,5:00,82.0,76.0,74.46808510638297
2006-10-14,1,Carmelo Marrero,Cheick Kongo,Heavyweight,Orthodox,1981-01-26,S-DEC,900,3,5:00,73.0,72.0,79.54545454545455
2006-11-18,1,Jake O'Brien,Josh Shockman,Heavyweight,Orthodox,1984-09-25,U-DEC,900,3,5:00,76.0,75.0,80.3030303030303
2006-11-18,1,Antoni Hardonk,Sherman Pendergarst,Heavyweight,Orthodox,1976-02-05,KO/TKO,195,1,3:15,78.0,76.0,83.33333333333334
2006-11-18,0,Frank Mir,Brandon Vera,Heavyweight,Southpaw,1979-05-24,KO/TKO,69,1,1:09,79.0,75.0,28.57142857142857
2006-11-18,1,Brandon Vera,Frank Mir,Heavyweight,Orthodox,1977-10-10,KO/TKO,69,1,1:09,78.0,75.0,70.83333333333334
2006-11-18,0,Jeff Monson,Tim Sylvia,Heavyweight,Orthodox,1971-01-18,U-DEC,1500,5,5:00,74.0,69.0,50.0
2006-11-18,1,Tim Sylvia,Jeff Monson,Heavyweight,Orthodox,1976-03-05,U-DEC,1500,5,5:00,80.0,80.0,42.91845493562232
2006-12-30,0,Anthony Perosh,Christian Wellisch,Heavyweight,Orthodox,1972-10-05,U-DEC,900,3,5:00,75.0,75.0,55.47445255474452
2006-12-30,1,Christian Wellisch,Anthony Perosh,Heavyweight,Orthodox,1975-09-13,U-DEC,900,3,5:00,77.0,74.0,39.3574297188755
2006-12-30,0,Carmelo Marrero,Gabriel Gonzaga,Heavyweight,Orthodox,1981-01-26,SUB,202,1,3:22,73.0,72.0,85.71428571428571
2006-12-30,1,Gabriel Gonzaga,Carmelo Marrero,Heavyweight,Orthodox,1979-05-18,SUB,202,1,3:22,76.0,74.0,69.6969696969697
2006-12-30,1,Andrei Arlovski,Marcio Cruz,Heavyweight,Orthodox,1979-02-04,KO/TKO,195,1,3:15,77.0,75.0,86.48648648648648
2007-01-25,0,Heath Herring,Jake O'Brien,Heavyweight,Orthodox,1978-03-02,U-DEC,900,3,5:00,78.0,76.0,38.55421686746988
2007-01-25,1,Jake O'Brien,Heath Herring,Heavyweight,Orthodox,1984-09-25,U-DEC,900,3,5:00,76.0,75.0,60.526315789473685
2007-02-03,0,Eddie Sanchez,Mirko Filipovic,Heavyweight,Orthodox,1982-11-04,KO/TKO,273,1,4:33,74.0,74.0,12.5
2007-02-03,1,Mirko Filipovic,Eddie Sanchez,Heavyweight,Southpaw,1974-09-10,KO/TKO,273,1,4:33,73.0,74.0,62.74509803921568
2007-03-03,0,Tim Sylvia,Randy Couture,Heavyweight,Orthodox,1976-03-05,U-DEC,1500,5,5:00,80.0,80.0,31.70731707317073
2007-03-03,1,Randy Couture,Tim Sylvia,Heavyweight,Orthodox,1963-06-22,U-DEC,1500,5,5:00,75.0,73.0,67.31707317073172
2007-04-05,0,Antoni Hardonk,Justin McCully,Heavyweight,Orthodox,1976-02-05,U-DEC,900,3,5:00,78.0,76.0,81.9672131147541
2007-04-05,1,Justin McCully,Antoni Hardonk,Heavyweight,Orthodox,1976-02-18,U-DEC,900,3,5:00,73.0,73.0,66.66666666666666
2007-04-07,1,Heath Herring,Brad Imes,Heavyweight,Orthodox,1978-03-02,U-DEC,900,3,5:00,78.0,76.0,70.25862068965517
2007-04-21,1,Cheick Kongo,Assuerio Silva,Heavyweight,Orthodox,1975-05-17,M-DEC,900,3,5:00,82.0,76.0,65.54054054054053
2007-04-21,0,Fabricio Werdum,Andrei Arlovski,Heavyweight,Orthodox,1977-07-30,U-DEC,900,3,5:00,77.0,76.0,31.32530120481928
2007-04-21,1,Andrei Arlovski,Fabricio Werdum,Heavyweight,Orthodox,1979-02-04,U-DEC,900,3,5:00,77.0,75.0,35.294117647058826
2007-04-21,0,Mirko Filipovic,Gabriel Gonzaga,Heavyweight,Southpaw,1974-09-10,KO/TKO,291,1,4:51,73.0,74.0,66.66666666666666
2007-04-21,1,Gabriel Gonzaga,Mirko Filipovic,Heavyweight,Orthodox,1979-05-18,KO/TKO,291,1,4:51,76.0,74.0,53.44827586206896
2007-06-16,1,Eddie Sanchez,Colin Robinson,Heavyweight,Orthodox,1982-11-04,KO/TKO,332,2,0:32,74.0,74.0,72.3404255319149
2007-07-07,0,Heath Herring,Antonio Rodrigo Nogueira,Heavyweight,Orthodox,1978-03-02,U-DEC,900,3,5:00,78.0,76.0,32.63888888888889
2007-07-07,1,Antonio Rodrigo Nogueira,Heath Herring,Heavyweight,Orthodox,1976-06-02,U-DEC,900,3,5:00,77.0,75.0,51.63398692810458
2007-08-25,0,Antoni Hardonk,Frank Mir,Heavyweight,Orthodox,1976-02-05,SUB,77,1,1:17,78.0,76.0,33.33333333333333
2007-08-25,1,Frank Mir,Antoni Hardonk,Heavyweight,Southpaw,1979-05-24,SUB,77,1,1:17,79.0,75.0,87.5
2007-08-25,0,Gabriel Gonzaga,Randy Couture,Heavyweight,Orthodox,1979-05-18,KO/TKO,697,3,1:37,76.0,74.0,30.76923076923077
2007-08-25,1,Randy Couture,Gabriel Gonzaga,Heavyweight,Orthodox,1963-06-22,KO/TKO,697,3,1:37,75.0,73.0,77.35849056603774
2007-09-08,0,Mirko Filipovic,Cheick Kongo,Heavyweight,Southpaw,1974-09-10,U-DEC,900,3,5:00,73.0,74.0,71.42857142857143
2007-09-08,1,Cheick Kongo,Mirko Filipovic,Heavyweight,Orthodox,1975-05-17,U-DEC,900,3,5:00,82.0,76.0,66.41221374045801
2007-09-22,1,Christian Wellisch,Scott Junk,Heavyweight,Orthodox,1975-09-13,SUB,199,1,3:19,77.0,74.0,58.333333333333336
2007-10-20,0,Brandon Vera,Tim Sylvia,Heavyweight,Orthodox,1977-10-10,U-DEC,900,3,5:00,78.0,75.0,81.91489361702128
2007-10-20,1,Tim Sylvia,Brandon Vera,Heavyweight,Orthodox,1976-03-05,U-DEC,900,3,5:00,80.0,80.0,71.72774869109948
2007-12-29,0,Soa Palelei,Eddie Sanchez,Heavyweight,Orthodox,1977-07-12,KO/TKO,804,3,3:24,81.0,76.0,62.7906976744186
2007-12-29,1,Eddie Sanchez,Soa Palelei,Heavyweight,Orthodox,1982-11-04,KO/TKO,804,3,3:24,74.0,74.0,68.39622641509435
2008-01-19,1,Antoni Hardonk,Colin Robinson,Heavyweight,Orthodox,1976-02-05,KO/TKO,17,1,0:17,78.0,76.0,71.42857142857143
2008-01-19,0,Gabriel Gonzaga,Fabricio Werdum,Heavyweight,Orthodox,1979-05-18,KO/TKO,574,2,4:34,76.0,74.0,65.0
2008-01-19,1,Fabricio Werdum,Gabriel Gonzaga,Heavyweight,Orthodox,1977-07-30,KO/TKO,574,2,4:34,77.0,76.0,58.71559633027523
2008-02-02,0,Brock Lesnar,Frank Mir,Heavyweight,Orthodox,1977-07-12,SUB,90,1,1:30,81.0,75.0,80.0
2008-02-02,1,Frank Mir,Brock Lesnar,Heavyweight,Southpaw,1979-05-24,SUB,90,1,1:30,79.0,75.0,66.66666666666666
2008-02-02,0,Tim Sylvia,Antonio Rodrigo Nogueira,Heavyweight,Orthodox,1976-03-05,SUB,688,3,1:28,80.0,80.0,52.09580838323353
2008-02-02,1,Antonio Rodrigo Nogueira,Tim Sylvia,Heavyweight,Orthodox,1976-06-02,SUB,688,3,1:28,77.0,75.0,47.05882352941176
2008-03-01,0,Jake O'Brien,Andrei Arlovski,Heavyweight,Orthodox,1984-09-25,KO/TKO,557,2,4:17,76.0,75.0,71.15384615384616
2008-03-01,1,Andrei Arlovski,Jake O'Brien,Heavyweight,Orthodox,1979-02-04,KO/TKO,557,2,4:17,77.0,75.0,63.95348837209303
2008-03-01,0,Cheick Kongo,Heath Herring,Heavyweight,Orthodox,1975-05-17,S-DEC,900,3,5:00,82.0,76.0,84.54545454545455
2008-03-01,1,Heath Herring,Cheick Kongo,Heavyweight,Orthodox,1978-03-02,S-DEC,900,3,5:00,78.0,76.0,80.0
2008-04-19,1,Cain Velasquez,Brad Morris,Heavyweight,Orthodox,1982-07-28,KO/TKO,130,1,2:10,77.0,73.0,74.69879518072288
2008-05-24,0,Christian Wellisch,Shane Carwin,Heavyweight,Orthodox,1975-09-13,KO/TKO,44,1,0:44,77.0,74.0,18.181818181818183
2008-05-24,1,Shane Carwin,Christian Wellisch,Heavyweight,Orthodox,1975-01-04,KO/TKO,44,1,0:44,80.0,74.0,35.714285714285715
2008-06-07,0,Eddie Sanchez,Antoni Hardonk,Heavyweight,Orthodox,1982-11-04,KO/TKO,555,2,4:15,74.0,74.0,60.909090909090914
2008-06-07,1,Antoni Hardonk,Eddie Sanchez,Heavyweight,Orthodox,1976-02-05,KO/TKO,555,2,4:15,78.0,76.0,65.38461538461539
2008-06-07,0,Brandon Vera,Fabricio Werdum,Heavyweight,Orthodox,1977-10-10,KO/TKO,280,1,4:40,78.0,75.0,74.07407407407408
2008-06-07,1,Fabricio Werdum,Brandon Vera,Heavyweight,Orthodox,1977-07-30,KO/TKO,280,1,4:40,77.0,76.0,46.0
2008-07-05,0,Justin McCully,Gabriel Gonzaga,Heavyweight,Orthodox,1976-02-18,SUB,117,1,1:57,73.0,73.0,22.22222222222222
2008-07-05,1,Gabriel Gonzaga,Justin McCully,Heavyweight,Orthodox,1979-05-18,SUB,117,1,1:57,76.0,74.0,84.21052631578947
2008-07-19,0,Jake O'Brien,Cain Velasquez,Heavyweight,Orthodox,1984-09-25,KO/TKO,122,1,2:02,76.0,75.0,100.0
2008-07-19,1,Cain Velasquez,Jake O'Brien,Heavyweight,Orthodox,1982-07-28,KO/TKO,122,1,2:02,77.0,73.0,95.18072289156626
2008-08-09,1,Cheick Kongo,Dan Evensen,Heavyweight,Orthodox,1975-05-17,KO/TKO,295,1,4:55,82.0,76.0,76.0
2008-08-09,0,Heath Herring,Brock Lesnar,Heavyweight,Orthodox,1978-03-02,U-DEC,900,3,5:00,78.0,76.0,74.54545454545455
2008-08-09,1,Brock Lesnar,Heath Herring,Heavyweight,Orthodox,1977-07-12,U-DEC,900,3,5:00,81.0,75.0,89.7196261682243
2008-10-18,1,Shane Carwin,Neil Wain,Heavyweight,Orthodox,1975-01-04,KO/TKO,91,1,1:31,80.0,74.0,69.6969696969697
2008-10-25,0,Fabricio Werdum,Junior Dos Santos,Heavyweight,Orthodox,1977-07-30,KO/TKO,81,1,1:21,77.0,76.0,100.0
2008-10-25,1,Junior Dos Santos,Fabricio Werdum,Heavyweight,Orthodox,1984-01-30,KO/TKO,81,1,1:21,77.0,76.0,63.63636363636363
2008-11-15,1,Gabriel Gonzaga,Josh Hendricks,Heavyweight,Orthodox,1979-05-18,KO/TKO,61,1,1:01,76.0,74.0,70.58823529411765
2008-11-15,0,Randy Couture,Brock Lesnar,Heavyweight,Orthodox,1963-06-22,KO/TKO,487,2,3:07,75.0,73.0,68.0
2008-11-15,1,Brock Lesnar,Randy Couture,Heavyweight,Orthodox,1977-07-12,KO/TKO,487,2,3:07,81.0,75.0,86.07594936708861
2008-12-10,0,Eddie Sanchez,Justin McCully,Heavyweight,Orthodox,1982-11-04,U-DEC,900,3,5:00,74.0,74.0,59.87261146496815
2008-12-10,1,Justin McCully,Eddie Sanchez,Heavyweight,Orthodox,1976-02-18,U-DEC,900,3,5:00,73.0,73.0,69.93865030674846
2008-12-27,1,Pat Barry,Dan Evensen,Heavyweight,Orthodox,1979-07-07,KO/TKO,156,1,2:36,74.0,71.0,46.15384615384615
2008-12-27,1,Antoni Hardonk,Mike Wessel,Heavyweight,Orthodox,1976-02-05,KO/TKO,429,2,2:09,78.0,76.0,80.0
2008-12-27,0,Mostapha Al-Turk,Cheick Kongo,Heavyweight,Orthodox,1973-07-14,KO/TKO,277,1,4:37,77.0,74.0,58.333333333333336
2008-12-27,1,Cheick Kongo,Mostapha Al-Turk,Heavyweight,Orthodox,1975-05-17,KO/TKO,277,1,4:37,82.0,76.0,86.90476190476191
2008-12-27,0,Antonio Rodrigo Nogueira,Frank Mir,Heavyweight,Orthodox,1976-06-02,KO/TKO,414,2,1:54,77.0,75.0,34.88372093023256
2008-12-27,1,Frank Mir,Antonio Rodrigo Nogueira,Heavyweight,Southpaw,1979-05-24,KO/TKO,414,2,1:54,79.0,75.0,37.735849056603776
2009-02-07,1,Cain Velasquez,Denis Stojnic,Heavyweight,Orthodox,1982-07-28,KO/TKO,454,2,2:34,77.0,73.0,67.75956284153006
2009-02-21,0,Stefan Struve,Junior Dos Santos,Heavyweight,Orthodox,1988-02-18,KO/TKO,54,1,0:54,84.0,83.0,0.0
2009-02-21,1,Junior Dos Santos,Stefan Struve,Heavyweight,Orthodox,1984-01-30,KO/TKO,54,1,0:54,77.0,76.0,66.66666666666666
2009-03-07,0,Gabriel Gonzaga,Shane Carwin,Heavyweight,Orthodox,1979-05-18,KO/TKO,69,1,1:09,76.0,74.0,70.0
2009-03-07,1,Shane Carwin,Gabriel Gonzaga,Heavyweight,Orthodox,1975-01-04,KO/TKO,69,1,1:09,80.0,74.0,40.0
2009-04-18,0,Antoni Hardonk,Cheick Kongo,Heavyweight,Orthodox,1976-02-05,KO/TKO,449,2,2:29,78.0,76.0,45.0
2009-04-18,1,Cheick Kongo,Antoni Hardonk,Heavyweight,Orthodox,1975-05-17,KO/TKO,449,2,2:29,82.0,76.0,68.37606837606837
2009-05-23,0,Pat Barry,Tim Hague,Heavyweight,Orthodox,1979-07-07,SUB,102,1,1:42,74.0,71.0,27.27272727272727
2009-05-23,1,Tim Hague,Pat Barry,Heavyweight,Orthodox,1983-05-09,SUB,102,1,1:42,76.0,76.0,25.0
2009-06-13,1,Stefan Struve,Denis Stojnic,Heavyweight,Orthodox,1988-02-18,SUB,457,2,2:37,84.0,83.0,86.04651162790698
2009-06-13,0,Mostapha Al-Turk,Mirko Filipovic,Heavyweight,Orthodox,1973-07-14,KO/TKO,186,1,3:06,77.0,74.0,28.000000000000004
2009-06-13,1,Mirko Filipovic,Mostapha Al-Turk,Heavyweight,Southpaw,1974-09-10,KO/TKO,186,1,3:06,73.0,74.0,48.64864864864865
2009-06-13,0,Cheick Kongo,Cain Velasquez,Heavyweight,Orthodox,1975-05-17,U-DEC,900,3,5:00,82.0,76.0,75.0
2009-06-13,1,Cain Velasquez,Cheick Kongo,Heavyweight,Orthodox,1982-07-28,U-DEC,900,3,5:00,77.0,73.0,81.5625
2009-07-11,0,Frank Mir,Brock Lesnar,Heavyweight,Southpaw,1979-05-24,KO/TKO,408,2,1:48,79.0,75.0,33.33333333333333
2009-07-11,1,Brock Lesnar,Frank Mir,Heavyweight,Orthodox,1977-07-12,KO/TKO,408,2,1:48,81.0,75.0,92.5
2009-08-29,0,Tim Hague,Todd Duffee,Heavyweight,Orthodox,1983-05-09,KO/TKO,7,1,0:07,76.0,76.0,0.0
2009-08-29,1,Todd Duffee,Tim Hague,Heavyweight,Orthodox,1985-12-06,KO/TKO,7,1,0:07,78.0,75.0,83.33333333333334
2009-08-29,0,Justin McCully,Mike Russow,Heavyweight,Orthodox,1976-02-18,U-DEC,900,3,5:00,73.0,73.0,42.16867469879519
